iteration,time_namelookup,time_connect,time_starttransfer,time_total,size_download,http_code,perf_id
1,0.000062,0.001705,2.323548,2.333361,6499,200,a9e2d648-89af-4845-8d56-3dc0bd48c979
2,0.000053,0.001574,2.287928,2.295792,6499,200,618e819b-c517-4bba-a67a-bc7fe64fcf3e
3,0.000045,0.001334,0.245669,0.247062,6499,200,96ec8974-a5c6-46c6-8171-9e2420a421d5
4,0.000076,0.002395,2.735347,2.744502,6499,200,192f543e-26a1-4944-a58e-4b0eaf4e286b
5,0.000063,0.007627,2.706537,2.714426,6499,200,8476fb7d-bb60-46dd-b81b-fae99fd76a22
6,0.000053,0.001638,2.027651,2.034249,6499,200,3ed897b9-5ea0-4504-90ae-12ba798155a5
7,0.000051,0.001506,0.215141,0.217014,6499,200,49edb1b9-219d-4151-8ca5-e5437efee10d
8,0.000057,0.001791,2.823436,2.831232,6499,200,11625ba5-0b2d-4b35-b742-b0497c6c14fa
9,0.000069,0.001887,2.631340,2.641078,6499,200,34f55bd6-d1f0-43c7-ac69-78a86afd407d
10,0.000083,0.002483,2.092750,2.098592,6499,200,f54fa3fb-ca03-4286-a6bb-8a6da95ee7ba
